Id,Name,Category,Glob,Accessor,Comment
1,Journal File,System/Journal,var/log/**,file,
2,Journal File,System/Journal,var/audit/**,file,
3,History File,Interpreter/History,Users/*/.bash_history,file,
4,History File,Interpreter/History,Users/*/.zsh_history,file,
5,History File,Interpreter/History,Users/*/.sh_history,file,
6,History File,Interpreter/History,Users/*/.python_history,file,
7,History File,Interpreter/History,var/root/.bash_history,file,
8,History File,Interpreter/History,var/root/.zsh_history,file,
9,History File,Interpreter/History,var/root/.sh_history,file,
10,History File,Interpreter/History,var/root/.python_history,file,
11,Safari File,Browser/Safari/History,Users/*/Library/Safari/History.db,file,
12,Account File,System/Account,Users/*/Library/Keychains/**,file,
13,Info File,System/Info,private/var/db/CoreDuet/Knowledge/knowledgeC.db,file,
14,Info File,System/Info,Users/*/Library/Application Support/Knowledge/knowledgeC.db,file,
15,Info File,System/Info,Library/Preferences/**,file,
16,Info File,System/Info,Users/*/Library/Preferences/**,file,
17,Autorun File,System/Autorun,Library/LaunchAgents/*,file,
18,Autorun File,System/Autorun,System/Library/LaunchAgents/*,file,
19,Autorun File,System/Autorun,Library/LaunchDaemons/*,file,
20,Autorun File,System/Autorun,System/Library/LaunchDaemons/*,file,
21,Autorun File,System/Autorun,Library/StartupItems/*,file,
22,Autorun File,System/Autorun,System/Library/StartupItems/*,file,
23,Safari File,Browser/Safari,Users/*/Library/Safari/Bookmarks.plist,file,
24,Safari File,Browser/Safari,Users/*/Library/Safari/Downloads.plist,file,
25,Safari File,Browser/Safari,Users/*/Library/Safari/Extensions/Extensions.plist,file,
26,Safari File,Browser/Safari,Users/*/Library/Safari/History.plist,file,
27,Safari File,Browser/Safari,Users/*/Library/Safari/History.db,file,
28,Safari File,Browser/Safari,Users/*/Library/Safari/HistoryIndex.sk,file,
29,Safari File,Browser/Safari,Users/*/Library/Safari/LastSession.plist,file,
30,Safari File,Browser/Safari,Users/*/Library/Safari/TopSites.plist,file,
31,Safari File,Browser/Safari,Users/*/Library/Safari/WebpageIcons.db,file,
32,Safari File,Browser/Safari,Users/*/Library/Caches/com.apple.Safari/Webpage Previews/*,file,
33,Safari File,Browser/Safari,Users/*/Library/Cookies/Cookies.binarycookies,file,
34,Firefox File,Browser/Firefox,Users/*/Library/Application Support/Firefox/Profiles/*/Cookies.sqlite,file,
35,Firefox File,Browser/Firefox,Users/*/Library/Application Support/Firefox/Profiles/*/Downloads.sqlite,file,
36,Firefox File,Browser/Firefox,Users/*/Library/Application Support/Firefox/Profiles/*/Formhistory.sqlite,file,
37,Firefox File,Browser/Firefox,Users/*/Library/Application Support/Firefox/Profiles/*/Places.sqlite,file,
38,Firefox File,Browser/Firefox,Users/*/Library/Application Support/Firefox/Profiles/*/signons.sqlite,file,
39,Firefox File,Browser/Firefox,Users/*/Library/Application Support/Firefox/Profiles/*/key3.db,file,
40,Firefox File,Browser/Firefox,Users/*/Library/Application Support/Firefox/Profiles/*/permissions.sqlite,file,
41,Firefox File,Browser/Firefox,Users/*/Library/Application Support/Firefox/Profiles/*/addons.sqlite,file,
42,Firefox File,Browser/Firefox,Users/*/Library/Application Support/Firefox/Profiles/*/addons.json,file,
43,Firefox File,Browser/Firefox,Users/*/Library/Application Support/Firefox/Profiles/*/extensions.sqlite,file,
44,Firefox File,Browser/Firefox,Users/*/Library/Application Support/Firefox/Profiles/*/extensions.json,file,
45,Firefox File,Browser/Firefox,Users/*/Library/Application Support/Firefox/Profiles/*/content-prefs.sqlite,file,
46,Chrome File,Browser/Chrome,Users/*/Library/Application Support/Google/Chrome/*/History,file,
47,Chrome File,Browser/Chrome,Users/*/Library/Application Support/Google/Chrome/*/Archived History,file,
48,Chrome File,Browser/Chrome,Users/*/Library/Application Support/Google/Chrome/*/Bookmarks,file,
49,Chrome File,Browser/Chrome,Users/*/Library/Application Support/Google/Chrome/*/Cookies,file,
50,Chrome File,Browser/Chrome,Users/*/Library/Application Support/Google/Chrome/*/Login Data,file,
51,Chrome File,Browser/Chrome,Users/*/Library/Application Support/Google/Chrome/*/Top Sites,file,
52,Chrome File,Browser/Chrome,Users/*/Library/Application Support/Google/Chrome/*/Web Data,file,
53,Chrome File,Browser/Chrome,Users/*/Library/Application Support/Google/Chrome/*/databases/Databases.db,file,
54,Mail File,Program/Mail,Users/*/Library/Mail/V*/POP-*/*,file,
55,Mail File,Program/Mail,Users/*/Library/Mail/V*/IMAP-*/*,file,
56,Mail File,Program/Mail,Users/*/Library/Mail/*/MailData/Accounts.plist,file,
57,Mail File,Program/Mail,Users/*/Library/Mail/*/MailData/OpenedAttachmentsV2.plist,file,
58,Mail File,Program/Mail,Users/*/Library/Application Support/AddressBook/MailRecents-v4.abcdmr,file,
59,CRON File,Scheduler/CRON,usr/lib/cron/jobs/*,file,
60,CRON File,Scheduler/CRON,usr/lib/cron/tabs/*,file,
61,CRON File,Scheduler/CRON,etc/defaults/periodic.conf,file,
62,CRON File,Scheduler/CRON,etc/periodic/daily/*,file,
63,CRON File,Scheduler/CRON,etc/periodic/weekly/*,file,
64,CRON File,Scheduler/CRON,etc/periodic/monthly/*,file,
65,Info File,System/Info,etc/hosts,file,
66,Info File,System/Info,etc/localtime,file,
67,Info File,System/Info,var/db/.AppleSetupDone,file,
68,Info File,System/Info,System/Library/CoreServices/SystemVersion.plist,file,
69,Account File,Social/Account,Users/*/Library/Accounts/Accounts3.sqlite,file,
70,Backup File,iOS/Backup,Users/*/Library/Application Support/MobileSync/Backup/**,file,
71,Account File,iCloud/Account,Users/*/Library/Application Support/iCloud/Accounts/**,file,
72,Info File,System/Info,Library/Receipts/InstallHistory.plist,file,
73,Memory File,System/Memory,var/vm/sleepimage,file,
74,Memory File,System/Memory,var/vm/swapfile*,file,
75,Journal File,System/Journal,Library/Logs/**,file,
76,Journal File,System/Journal,Users/*/Library/Logs/**,file,
77,Account File,System/Account,var/db/dslocal/nodes/Default/users/*,file,
