Id,Name,Category,Glob,Accessor,Comment
1,Boot Info File,Boot Info,boot/grub/grub.cfg,file,
2,Boot Info File,Boot Info,boot/grub2/grub.cfg,file,
3,Boot Info File,Boot Info,boot/initrd*,file,
4,Boot Info File,Boot Info,boot/initramfs*,file,
5,Host Info File,Host Info,etc/fstab,file,
6,Accounts Info File,Accounts Info,etc/group,file,
7,Accounts Info File,Accounts Info,etc/passwd,file,
8,Accounts Info File,Accounts Info,etc/shadow,file,
9,Host Info File,Host Info,etc/netgroup,file,
10,Host Info File,Host Info,etc/timezone,file,
11,Boot Info File,Boot Info,etc/rc*.d/*,file,
12,Boot Info File,Boot Info,etc/init.d/*,file,
13,Boot Info File,Boot Info,etc/rc.d/rc*.d/*,file,
14,Boot Info File,Boot Info,etc/rc.d/init.d/*,file,
15,Network Info File,Network Info,etc/xinetd.d/**,file,
16,Network Info File,Network Info,etc/xinetd.conf,file,
17,Network Info File,Network Info,etc/nsswitch.conf,file,
18,Accounts Info File,Accounts Info,etc/security/access.conf,file,
19,Network Info File,Network Info,etc/ntp.conf,file,
20,SSH File,SSH,etc/ssh/ssh_config,file,
21,SSH File,SSH,etc/ssh/sshd_config,file,
22,SSH File,SSH,etc/ssh/ssh_host_*_key.pub,file,
23,Package Manager File,Package Manager,etc/yum.conf,file,
24,Package Manager File,Package Manager,etc/yum.repos.d/*.repo,file,
25,Scheduled Tasks File,CRON,etc/anacrontab,file,
26,Scheduled Tasks File,CRON,etc/cron.d/*,file,
27,Scheduled Tasks File,CRON,etc/cron.daily/*,file,
28,Scheduled Tasks File,CRON,etc/cron.hourly/*,file,
29,Scheduled Tasks File,CRON,etc/cron.monthly/*,file,
30,Scheduled Tasks File,CRON,etc/cron.weekly/*,file,
31,Package Manager File,Package Manager,etc/apt/sources.list,file,
32,Package Manager File,Package Manager,etc/apt/sources.list.d/*.list,file,
33,Package Manager File,Package Manager,etc/apt/trustdb.gpg,file,
34,Package Manager File,Package Manager,etc/apt/trusted.gpg,file,
35,Package Manager File,Package Manager,etc/apt/trusted.gpg.d/*.gpg,file,
36,Scheduled Tasks File,CRON,etc/crontab,file,
37,Scheduled Tasks File,CRON,etc/at.deny,file,
38,Scheduled Tasks File,CRON,etc/at.allow,file,
39,Scheduled Tasks File,CRON,etc/cron.deny,file,
40,Scheduled Tasks File,CRON,etc/cron.allow,file,
41,Network Info File,Network Info,etc/resolv.conf,file,
42,Distrib Info File,Distrib Info,etc/debian_version,file,
43,Network Info File,Network Info,etc/hosts.deny,file,
44,Network Info File,Network Info,etc/hosts.allow,file,
45,Kernel Module Info File,Kernel Module Info,etc/modprobe.d/*,file,
46,Kernel Module Info File,Kernel Module Info,etc/modules.conf,file,
47,Host Info File,Host Info,etc/hostname,file,
48,Host Info File,Host Info,etc/localtime,file,
49,Distrib Info File,Distrib Info,etc/issue,file,
50,Distrib Info File,Distrib Info,etc/issue.net,file,
51,Distrib Info File,Distrib Info,etc/os-release,file,
52,Distrib Info File,Distrib Info,etc/lsb-release,file,
53,Distrib Info File,Distrib Info,etc/SuSE-release,file,
54,Distrib Info File,Distrib Info,etc/centos-release,file,
55,Distrib Info File,Distrib Info,etc/oracle-release,file,
56,Distrib Info File,Distrib Info,etc/redhat-release,file,
57,Distrib Info File,Distrib Info,etc/system-release,file,
58,Distrib Info File,Distrib Info,etc/enterprise-release,file,
59,Accounts Info File,Accounts Info,etc/pam.d/*,file,
60,Accounts Info File,Accounts Info,etc/pam.conf,file,
61,Journal File,Journal,etc/rsyslog.d/*,file,
62,Journal File,Journal,etc/rsyslog.conf,file,
63,Journal File,Journal,etc/syslog-ng/syslog-ng.conf,file,
64,Journal File,Journal,etc/syslog-ng/conf-d/*.conf,file,
65,Systemd Service File,Systemd,etc/systemd/**/*.service,file,
66,Boot Info File,Boot Info,etc/insserv.conf,file,
67,Boot Info File,Boot Info,etc/insserv.conf.d/**,file,
68,Dynamic Linker File,Dynamic Linker,etc/ld.so.preload,file,
69,Journal File,Journal,var/log/**,file,
70,Journal File,Journal,var/run/utmp,file,
71,Scheduled Tasks File,CRON,var/spool/at/**,file,
72,Scheduled Tasks File,CRON,var/spool/cron/**,file,
73,Scheduled Tasks File,CRON,var/spool/anacron/**,file,
74,Distrib Info File,Distrib Info,usr/lib/os-release,file,
75,Systemd Service File,Systemd,usr/lib/systemd/**/*.service,file,
76,PGP Keyrings File,PGP Keyrings,usr/share/keyrings/*.gpg,file,
77,Systemd Service File,Systemd,lib/systemd/**/*.service,file,
78,Systemd Service File,Systemd,run/systemd/**/*.service,file,
79,Systemd Service File,Systemd,run/user/*/systemd/**/*.service,file,
80,SSH File,SSH,home/*/.ssh/config,file,
81,SSH File,SSH,home/*/.ssh/known_hosts,file,
82,SSH File,SSH,home/*/.ssh/authorized_keys,file,
83,User Activity File,User Activity,home/*/.thumbnails/**,file,
84,User Activity File,User Activity,home/*/.local/share/zeitgeist/activity.sqlite*,file,
85,Systemd Service File,Systemd,home/*/.config/systemd/**/*.service,file,
86,Systemd Service File,Systemd,home/*/.local/share/systemd/user/*.service,file,
87,User Activity File,User Activity,home/*/.local/share/gnome-shell/application_state,file,
88,Kerberos Account File,Kerberos Account,root/.k5login,file,
89,SSH File,SSH,root/.ssh/config,file,
90,SSH File,SSH,root/.ssh/known_hosts,file,
91,SSH File,SSH,root/.ssh/authorized_keys,file,
92,Network Info File,Network Info,etc/hosts,file,
93,Accounts Info File,Accounts Info,etc/sudoers,file,
94,Journal File,Journal,etc/audit/auditd.conf,file,
95,Journal File,Journal,etc/audit/audit.rules,file,
94,Journal File,Journal,etc/audit/rules.d/*,file,
95,Kerberos Account File,Kerberos Account,home/*/.k5login,file,
96,Console History File,Console History,root/.bash_history,file,
97,Console History File,Console History,home/*/.bash_history,file,
98,Console History File,Console History,root/.zsh_history,file,
99,Console History File,Console History,home/*/.zsh_history,file,
100,Console History File,Console History,root/.sh_history,file,
101,Console History File,Console History,home/*/.sh_history,file,
102,Console History File,Console History,root/.local/share/fish/fish_history,file,
103,Console History File,Console History,home/*/.local/share/fish/fish_history,file,
104,Console History File,Console History,root/.python_history,file,
105,Console History File,Console History,home/*/.python_history,file,
106,Console History File,Console History,home/*/.sudo_as_admin_successful,file,
