Group,RuleIds
Browser/Chromium/History,"[69,70,136]"
Browser/Firefox/Addons,"[133,134,135]"
Browser/Firefox/History,"[67,68,127]"
Desktop/Gnome,"[118,120,122,140]"
Init/SysV,"[36,37,38,39,100,101]"
Init/Systemd,"[33,34,35,112,115,119,139]"
Installer/APT,"[28,29,30,31,32]"
Installer/DPKG,[25]
Installer/YUM,"[26,27]"
Interpreter/History,"[57,58,59,60,61,62,63,64,65,66]"
Kernel/Module,"[106,107]"
Program/Binder,[104]
Program/PGP,[128]
Program/SSH/Client,"[71,72,74,75,94,121,123,124,125]"
Program/SSH/Server,"[73,131,137]"
Program/Shell,"[76,77,78,79,80,81,82,83,84]"
Program/USBGuard,"[92,93]"
Scheduler/AT,"[18,19,22]"
Scheduler/CRON,"[10,11,12,13,14,15,16,17,20,21,23,24]"
System/Account,"[1,2,3,4,5,6,7,8,9,116,117,141,142]"
System/Audit,"[85,138,143,144]"
System/Boot,"[95,96,129]"
System/Filesystem,[99]
System/Info,"[40,41,42,43,44,45,46,47,48,49,97,98,102,103,105,108,111,126]"
System/Journal,"[50,51,52,53,54,55,56,145,146]"
System/Network,"[86,87,88,89,90,91,109,110,113,114,130]"
Triage/Full,"[1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,133,134,135,136,137,138,139,140,141,142,143,144,145,146]"
